feature,importance
need_Yes,0.05964997457448496
income_main_amount,0.057350458346113506
tot_income,0.05684883890996183
crp_proddif_count,0.03929955012835381
shock_count,0.03635120993278641
resp_age,0.03628234585399481
"hh_education_Completed higher education (university, college) degree",0.03331518149560326
shock_economic_count,0.030637618731652657
income_quintile_adm1,0.02629410898240061
income_main_comp_A lot less (less than half as much),0.025763292441871047
regional_yield_mean,0.024631587672103696
covid_disruption_count,0.024226863104639562
hh_size,0.02372798550681891
ls_num_now,0.02313048361079214
hh_agricactivity_Yes - both crop and livestock production,0.02269066780686743
modis_ndvi_90d_mean,0.022233169012051173
ls_pct_change,0.022128728439885954
resp_gender_Male,0.021536426557686776
need_No,0.02123719245306487
crp_landsize_Less than 1 ha,0.020936416321225584
modis_ndvi_90d_std,0.019943071290505134
hh_wealth_water_Public tap,0.01961790476892745
hh_wealth_light_Candle,0.019234950003296218
resp_gender_Female,0.01916671321666653
shock_noshock_No,0.018493017135393204
need_cashassistance_Yes,0.018415251412756756
hh_education_Completed primary school,0.01810323959309891
shock_noshock_Yes,0.017459433243119077
need_cashassistance_No,0.01664763939562397
chirps_rain_30d_mm,0.016579983552405867
covid_none_Yes,0.015720956962594415
hh_wealth_light_Electricity (from generator or electrical grid),0.015365096722954897
hh_wealth_light_Other (no electric supply to the house),0.01510648949754834
crp_proddif_irrigation_No,0.01492488179747846
chirps_rain_90d_mm,0.013838332733188278
shock_lostemplorwork_No,0.013716508470028478
shock_lostemplorwork_Yes,0.01354672596488908
ls_num_lastyr,0.013020596512935896
crp_harv_change_A lot less (less than half as much),0.010625060682556193
crp_area_change_Same,0.010499620544386584
income_main_comp_Same,0.010339760365265202
income_main_comp_More,0.01031380518610156
hh_age_18 to 40,0.010072140217616524
covid_goodstransp_No,0.010005377229776012
hh_wealth_light_Petrol lamp,0.009856114227812818
covid_none_No,0.009380259757454577
income_primary_share,0.00897620348433819
hh_agricactivity_No,0.00877722159360512
crp_salesdif_Yes,0.008560354583915814
crp_harv_change_Less,0.008076480653658662
need_animalfeed_Yes,0.008040381284575768
crp_area_change_Less,0.00790950701830154
hh_education_Completed secondary school,0.00783717285987356
hh_age_41 to 65,0.00782107690465649
hh_wealth_light_Lamp with batteries,0.007752155723661168
crp_proddif_Yes,0.007523175934603968
hh_wealth_water_Private tap from piped water,0.007500969924986585
crp_landsize_More than 10 ha,0.007500961970638272
crp_proddif_irrigation_Yes,0.00732850748704112
income_third_Don't know,0.006660032136374757
ls_num_diff,0.006534704721139803
ls_proddif_No,0.006486980820630483
income_main_Off-farm daily wages and other non-agricultural casual employment,0.006375842793158589
needs_expressed_count,0.006250651369100292
ls_salesdif_Yes,0.006217281515109665
covid_goodstransp_Yes,0.00564746674391556
hh_wealth_water_Other safe source,0.005352853280231073
need_loans_No,0.005342780309428495
need_loans_Yes,0.005179395751780044
need_animalfeed_No,0.004930478542892175
income_main_No income source in the last 3 months and used exclusively debt,0.004690176987448391
hh_wealth_toilet_Traditional pit latrine (no water),0.004410206588261149
shock_sicknessordeathofhh_No,0.004409417331169812
ls_proddif_Yes,0.004291136423658706
income_sec_amount,0.004270036545716036
crp_landsize_5 to 10 ha,0.004249274873606321
hh_wealth_water_Protected well,0.004209770526282125
shock_personal_count,0.0040622155845580175
income_main_comp_Less,0.004033378602256934
"ls_main_Cattle (cow, beef, veal, yak, buffalo)",0.003909460923353927
shock_sicknessordeathofhh_Yes,0.0038734397728596493
income_main_Daily wage on farms and other casual employment in agricultural sector,0.0038008352972107753
"income_main_Income not derived from work, remittances",0.0037896476561274746
"hh_wealth_toilet_Open pit (whole in the ground for excrement without water, roof or wall)",0.003557495106646267
ls_main_Goats,0.0035408767935869324
crp_area_change_More,0.003506594166464513
income_main_Stable employment in non-agricultural sector,0.0034807320600069793
"income_main_Non-agricultural self-employed or liberal profession, doctor, architect, lawyer, including restaurant",0.003447086926162164
crp_proddif_nafertilizer_No,0.003363970116789677
hh_wealth_toilet_Flush latrine (toilet with water),0.002949624073448552
need_fertilizers_Yes,0.002921962645961966
crp_proddif_seedquality_Yes,0.002868196037955451
ls_salesdif_No,0.0028641845613045823
"ls_main_Poultry (chicken, guineafowl, duck, etc)",0.0027872161045002695
crp_proddif_No,0.0027443180170878094
income_sec_No second most important source of income,0.0027177373816606146
income_main_Public employment,0.0026977355672817035
crp_salesdif_No,0.002676593913467352
ls_num_nochange_Yes,0.0025528180376241127
ls_proddif_diseases_Yes,0.002508971977046186
crp_landsize_1 to 5 ha,0.0025049458587707244
shock_climate_count,0.002479010237303389
crp_main,0.002478872691824322
income_source_count,0.002464753644105981
"income_main_Farmer, production and sale of staple crops",0.0024438958158012045
hh_wealth_water_River,0.0024044359913951434
crp_salesprice_Less,0.002321130493278679
ls_num_inc_moreborn_No,0.0021874898508132297
covid_stayhome_No,0.0021025901060013636
covid_stayhome_Yes,0.002096172730688274
ls_num_nochange_No,0.0020767323319710574
"hh_residencetype_Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",0.0020481735040762503
income_sec_comp_Same,0.00204536242083311
ls_food_supply_commonpasture_No,0.0020432634198985886
need_veterinaryinputs_Yes,0.0019742930074480645
"ls_salesmain_Poultry (chicken, guineafowl, duck, etc.)",0.0019531044051028902
income_sec_comp_A lot less (less than half as much),0.0019402025508450942
hh_maritalstat_Separated,0.0019371399508789045
income_sec_comp_Less,0.0019151668108662733
crp_seed_gov_No,0.0019010788388740321
ls_num_dec_animalsdied_Yes,0.0018864336467655405
crp_seed_market_Yes,0.0018852680054163309
crp_irrigation_Rainfed,0.0018063407854459297
need_seeds_No,0.001737562917086713
need_restockinganimals_No,0.0017328914818123251
crp_harv_change_More,0.0017308657602466476
ls_salesmain_Swine,0.001723320852358298
crp_proddif_seedquality_No,0.0017225135843883788
crp_seed_market_No,0.0016958034736782024
ls_salesprice_Less,0.0016937005711318697
need_restockinganimals_Yes,0.0016544090552727188
hh_agricactivity_Yes - crop production,0.0016132549634611788
crp_seed_company_Yes,0.0016057394199391571
covid_marketclosed_No,0.0015672459796751634
crp_proddif_nafertilizer_Yes,0.0015381910014780694
"income_main_Farmer, production and sale of vegetable or fruit",0.0015272537429160272
shock_cantworkordobusiness_No,0.0015160906921035172
shock_othernathazard_No,0.0015027128724730166
ls_salesdif_lowprices_No,0.0014804065434692111
"hh_residencetype_Recent migrant not forcefully displaced - you have been living in your current place of residence for less than two years and you moved there voluntarily for work, family or other reasons that are not related to conflict or natural disaster",0.0014358432310733861
shock_napasture_No,0.0014349473920841588
crp_seed_company_No,0.0013971650312481266
ls_num_dec_soldmoregoodprice_No,0.0013955345521496664
crp_proddif_nainsecticides_No,0.0013938263424527874
crp_proddif_naseeds_Yes,0.0013481658713467661
"crp_irrigation_Manually from water surface, well or other water source",0.0012793699102273738
crp_seed_ownprod_Yes,0.0012771969980411968
need_fertilizers_No,0.0012706985245218242
income_main_Informal agricultural trade excluding producers,0.001234762510054422
ls_num_inc_moreborn_Yes,0.0012227751717770769
ls_proddif_diseases_No,0.0012027689944116376
ls_food_supply_purchased_Yes,0.0012013724243692128
crp_proddif_soilerosion_Yes,0.001199076202225133
need_veterinaryinputs_No,0.0011986276171551782
shock_othernathazard_Yes,0.00117169978927336
crp_irrigation_Canal,0.0011475157726418236
crp_proddif_nalabour_No,0.001115860402830455
crp_harv_change_Same,0.0011118259306699212
ls_food_supply_commonpasture_Yes,0.0011027772475603822
ls_proddif_diffeedpurchase_Yes,0.0010966200737374835
hh_agricactivity_Yes - livestock production,0.0010511074276257058
crp_proddif_namachinery_Yes,0.0010371348136189668
crp_proddif_nainsecticides_Yes,0.001001238649275915
ls_food_supply_purchased_No,0.0009999804310025916
need_seeds_Yes,0.0009843956748043486
covid_marketclosed_Yes,0.0009741530929343686
hh_maritalstat_Married,0.0009731956818434909
hh_age_Over 65,0.0009433528533253363
covid_borderclosed_No,0.0009409342561636252
need_marketingsupport_Yes,0.0009303793279989351
income_third_No third most important source of income,0.0009284058940831464
crp_salesdif_count,0.0009223139323827381
ls_num_dec_animalsdied_No,0.000919226723453522
income_sec_comp_More,0.0009063820525964455
shock_napasture_Yes,0.0009057621413927968
shock_flood_Yes,0.0009038156981039838
shock_bio_count,0.0008501609656929457
ls_proddif_constaccesstowater_Yes,0.0008358192729701553
crp_proddif_nalabour_Yes,0.0008247920371028568
"hh_wealth_toilet_None, bush",0.000805546799262058
covid_borderclosed_Yes,0.0007887974223091564
shock_otherintrahhshock_Yes,0.0007839697111546137
ls_salesdif_smallerprofits_Yes,0.0007797108689309776
income_main_No income source in the last 3 months and used exclusively savings,0.0007669470619623036
crp_proddif_naseeds_No,0.0007071156934467048
crp_seed_gov_Yes,0.0006837912044816537
"income_main_Farmer, production and sale of cashcrops",0.0006655574461937797
crp_proddif_plantdisease_No,0.0006586508457809916
crp_salesprice_More,0.0006583935362034858
crp_salesprice_Same,0.0006432090846076001
need_supportforprocessprod_No,0.0006227611085991324
crp_area_change_A lot less (less than half as much),0.00060814295466257
shock_cantworkordobusiness_Yes,0.0005746889968867352
ls_food_supply_openpasture_No,0.0005665487723238271
