model,tuned,cv_f1_macro_mean,cv_f1_macro_std,test_f1_macro,test_f1_weighted,test_accuracy,test_balanced_acc,test_precision_m,test_recall_m,fit_seconds
CatBoost_tuned,True,0.496,0.026,0.4862,0.5354,0.5263,0.4902,0.4868,0.4902,4650.26
LightGBM_tuned,True,0.4832,0.0326,0.4606,0.5173,0.5235,0.4611,0.462,0.4611,1151.9
StackingEnsemble,False,0.4826,0.0152,0.4859,0.5346,0.5235,0.493,0.4867,0.493,475.13
SoftVotingEnsemble,False,0.4805,0.0312,0.5009,0.5561,0.5596,0.5008,0.5022,0.5008,125.26
RandomForest_tuned,True,0.4779,0.0256,0.4536,0.5128,0.5152,0.4629,0.4626,0.4629,727.45
CatBoost,False,0.4719,0.0247,0.4814,0.5393,0.5374,0.4825,0.4806,0.4825,156.58
XGBoost_tuned,True,0.4718,0.0298,0.4329,0.5035,0.5235,0.4352,0.4453,0.4352,337.81
ExtraTrees_tuned,True,0.4704,0.0327,0.4732,0.5305,0.5319,0.4747,0.475,0.4747,1179.75
SVM,False,0.4664,0.0172,0.443,0.4981,0.4903,0.4487,0.444,0.4487,15.58
LightGBM,False,0.4652,0.0136,0.4698,0.5299,0.5374,0.4696,0.4741,0.4696,51.96
XGBoost,False,0.4613,0.0203,0.4554,0.5173,0.5346,0.4526,0.4699,0.4526,17.85
LogisticRegression,False,0.455,0.0177,0.4511,0.5029,0.4903,0.4566,0.4545,0.4566,20.42
GradientBoosting,False,0.4464,0.0237,0.4314,0.5049,0.5429,0.4348,0.4651,0.4348,24.25
ExtraTrees,False,0.4029,0.0127,0.4377,0.5207,0.5762,0.4473,0.5076,0.4473,16.45
RandomForest,False,0.3975,0.0278,0.3875,0.4786,0.554,0.4119,0.4818,0.4119,24.58
DecisionTree,False,0.383,0.0089,0.4023,0.4492,0.4432,0.4036,0.4025,0.4036,2.76
KNN,False,0.3661,0.0241,0.3845,0.4735,0.5374,0.4008,0.4484,0.4008,1.01
