adm1_name,adm2_name,survey_date,survey_month,resp_age,resp_gender,hh_agricactivity,hh_gender,hh_education,hh_wealth_water,hh_wealth_toilet,hh_wealth_light,hh_residencetype,hh_size,hh_maritalstat,hh_age,income_main,income_main_amount,income_main_comp,income_sec,income_sec_amount,income_sec_comp,income_third,income_third_amount,income_third_comp,tot_income,covid_goodstransp,covid_marketclosed,covid_borderclosed,covid_stayhome,covid_gatherings,covid_processclosed,covid_none,shock_noshock,shock_sicknessordeathofhh,shock_lostemplorwork,shock_otherintrahhshock,shock_higherfoodprices,shock_higherfuelprices,shock_cantworkordobusiness,shock_othereconomicshock,shock_pestoutbreak,shock_plantdisease,shock_animaldisease,shock_napasture,shock_othercropandlivests,shock_coldtemporhail,shock_flood,shock_hurricane,shock_drought,shock_othernathazard,shock_violenceinsecconf,shock_theftofprodassets,shock_fire,shock_othermanmadehazard,crp_main,crp_landsize,crp_irrigation,crp_seed_ownprod,crp_seed_market,crp_seed_company,crp_seed_freedist,crp_seed_bank,crp_seed_gov,crp_area_change,crp_harv_change,crp_proddif,crp_proddif_plantdisease,crp_proddif_seedquality,crp_proddif_lostordamaged,crp_proddif_naplot,crp_proddif_nafertilizer,crp_proddif_naseeds,crp_proddif_nainsecticides,crp_proddif_nalabour,crp_proddif_namachinery,crp_proddif_nafuelorelect,crp_proddif_soilerosion,crp_proddif_irrigation,crp_salesdif,crp_saledif_marketing_cost,crp_saledif_damagelosses,crp_saledif_lowdemand,crp_saledif_lowprice,crp_saledif_dif_processing,crp_salesprice,ls_main,ls_num_lastyr,ls_num_now,ls_num_diff,ls_num_nochange,ls_num_inc_didnotsellasmany,ls_num_inc_moreborn,ls_num_inc_purchbarterdmore,ls_num_inc_receivedfree,ls_num_dec_animalsdied,ls_num_dec_soldmoregoodprice,ls_num_dec_soldmoredistsale,ls_num_dec_anmlescloststolen,ls_num_dec_killedorgaveanml,ls_food_supply_openpasture,ls_food_supply_commonpasture,ls_food_supply_fieldselfprodfod,ls_food_supply_purchased,ls_proddif,ls_proddif_diffeedpurchase,ls_proddif_constaccesstopasture,ls_proddif_constaccesstowater,ls_proddif_difaccessvetserv,ls_proddif_difaccessvetinp,ls_proddif_diseases,ls_proddif_theftorinsecurity,ls_proddif_pooraccesstolmarket,ls_proddif_noaccesstocredit,ls_proddif_lackoflabour,ls_salesmain,ls_salesdif,ls_salesdif_smallerprofits,ls_salesdif_damageandlosses,ls_salesdif_lowdemand,ls_salesdif_lowprices,ls_salesdif_slaughterhouse,ls_salesdif_processing,ls_salesprice,need,need_seeds,need_fertilizers,need_pesticides,need_tools,need_accesstoirrigationwater,need_accesstoland,need_animalfeed,need_veterinaryservices,need_veterinaryinputs,need_animalsalemingarantdprice,need_restockinganimals,need_supportforprocessprod,need_supptransofanimalsorprod,need_acstomechanisedequipprod,need_marketingsupport,need_cashassistance,need_loans,need_storageequipmentorfaci,need_techsupporextensionserv,need_landrehabilitation,need_fishequiorothersuppforfish,need_infoonsafetymeasures,shock_count,shock_climate_count,shock_bio_count,shock_economic_count,shock_personal_count,covid_disruption_count,income_source_count,income_primary_share,income_quintile_adm1,ls_pct_change,crp_proddif_count,crp_salesdif_count,needs_expressed_count,chirps_rain_30d_mm,chirps_rain_90d_mm,modis_ndvi_90d_mean,modis_ndvi_90d_std,regional_yield_mean,vulnerability_score,credit_risk
Matabeleland North,Hwange Urban,2022-04-23,4,38,Male,No,Male,Completed secondary school,Private tap from piped water,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",4.0,Married,18 to 40,Informal agricultural trade excluding producers,15000.0,A lot less (less than half as much),No second most important source of income,,,No third most important source of income,,,15000.0,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,Yes,No,More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,2.0,0.0,0.0,1.0,1.0,2.0,1,1.0,3.0,,,2.0,2.0,0.44886386941904055,0.44886386941904055,0.339434452117035,0.0258832322561488,0.9032635080148601,0.3402,HIGH
Matabeleland South,Matobo,2022-05-08,5,54,Female,Yes - crop production,Female,Completed secondary school,Protected well,Traditional pit latrine (no water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",5.0,Widowed,41 to 65,"Income not derived from work, welfare transfer, pension, humanitarian aid",18000.0,Less,Off-farm daily wages and other non-agricultural casual employment,12000.0,Less,Don't know,,,30000.0,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,Less than 1 ha,Rainfed,No,No,No,Yes,No,Yes,More,Less,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,3.0,2,0.6,3.0,,,,1.0,0.7563064425034219,0.7563064425034219,0.31299886691010786,0.01897974475661424,1.047395419085191,0.2,HIGH
Masvingo,Chiredzi Urban,2022-04-22,4,46,Male,Yes - livestock production,Male,Completed secondary school,Protected well,Traditional pit latrine (no water),Other (no electric supply to the house),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",7.0,Married,41 to 65,Stable employment in non-agricultural sector,30000.0,Less,No second most important source of income,,,No third most important source of income,,,30000.0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle (cow, beef, veal, yak, buffalo)",15.0,12.0,-3.0,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,4.0,-0.2,,,1.0,4.762911593477036,8.067621039521844,0.3634755512542726,0.03209999073438424,0.834131608320568,0.0667,LOW
Matabeleland South,Matobo,2022-04-27,4,43,Female,Yes - both crop and livestock production,Female,Completed secondary school,Protected well,Traditional pit latrine (no water),Lamp with batteries,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",5.0,Widowed,41 to 65,Public employment,49500.0,Same,No second most important source of income,,,No third most important source of income,,,49500.0,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4300.0,Less than 1 ha,"Manually from water surface, well or other water source",No,Yes,Yes,No,No,No,Same,More,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",30.0,20.0,-10.0,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,4.0,-0.3333333333333333,4.0,,5.0,0.7563064425034219,0.7563064425034219,0.31299886691010786,0.01897974475661424,1.047395419085191,0.1333,MEDIUM
Mashonaland West,Hurungwe,2022-04-10,4,39,Male,Yes - both crop and livestock production,Male,Completed secondary school,Protected well,Traditional pit latrine (no water),Lamp with batteries,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",6.0,Married,18 to 40,"Farmer, production and sale of cashcrops",50000.0,Less,No second most important source of income,,,No third most important source of income,,,50000.0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,Yes,No,No,No,No,Less,Less,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Less,"Cattle (cow, beef, veal, yak, buffalo)",4.0,2.0,-2.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,4.0,-0.5,2.0,1.0,2.0,0.021576462293411758,0.021576462293411758,0.35522126016601113,0.03870132499905677,1.659140539364503,0.2003,MEDIUM
Mashonaland Central,Mbire,2022-04-19,4,37,Male,Yes - both crop and livestock production,Male,"Completed higher education (university, college) degree",Protected well,Traditional pit latrine (no water),Other (no electric supply to the house),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",8.0,Married,18 to 40,Public employment,50000.0,Same,No second most important source of income,,,No third most important source of income,,,50000.0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1400.0,1 to 5 ha,Rainfed,No,No,No,No,No,Yes,Same,A lot less (less than half as much),Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,Goats,18.0,12.0,-6.0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,4.0,-0.3333333333333333,2.0,,3.0,0.09795221167109198,0.09795221167109198,0.3641981174970857,0.03833543356922952,1.5028364458532366,0.0668,LOW
Mashonaland Central,Mbire,2022-04-13,4,51,Male,Yes - both crop and livestock production,Male,Completed secondary school,Other safe source,Traditional pit latrine (no water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",4.0,Married,41 to 65,Stable employment in non-agricultural sector,,A lot less (less than half as much),No second most important source of income,,,No third most important source of income,,,0.0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1990.0,1 to 5 ha,Rainfed,No,Yes,No,No,No,No,A lot more (increased by more than 50%),A lot less (less than half as much),Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,Goats,46.0,27.0,-19.0,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,1.0,0.0,0.0,0.0,0.0,0,,1.0,-0.41304347826086957,1.0,,1.0,0.09795221167109198,0.09795221167109198,0.3641981174970857,0.03833543356922952,1.5028364458532366,0.3567,HIGH
Manicaland,Chipinge,2022-04-10,4,30,Male,Yes - both crop and livestock production,Male,Completed secondary school,Private tap from piped water,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",6.0,Married,18 to 40,"Non-agricultural self-employed or liberal profession, doctor, architect, lawyer, including restaurant",5000.0,Less,No second most important source of income,,,No third most important source of income,,,5000.0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,Less than 1 ha,Rainfed,No,No,Yes,No,No,No,Less,Less,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",30.0,13.0,-17.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,2.0,-0.5666666666666667,1.0,,1.0,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.2682,HIGH
Manicaland,Mutare,2022-04-15,4,35,Male,No,Male,Completed primary school,Private tap from piped water,Traditional pit latrine (no water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",5.0,Married,18 to 40,Public employment,210000.0,Less,No second most important source of income,,,No third most important source of income,,,210000.0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,,,,0.0,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.0,LOW
Mashonaland Central,Mount Darwin,2022-04-12,4,45,Male,No,Male,Completed primary school,Public tap,Traditional pit latrine (no water),Petrol lamp,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",8.0,Married,41 to 65,"Income not derived from work, charity",50000.0,More,Daily wage on farms and other casual employment in agricultural sector,,Less,Don't know,,,50000.0,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,2.0,0.0,0.0,1.0,1.0,0.0,1,1.0,4.0,,,,7.0,0.011999409930454159,0.011999409930454159,0.3279861732170425,0.03248454463643826,1.5028364458532366,0.1337,MEDIUM
